NAME,total_housing_units,built_2020_plus,built_2010_2019,built_2000_2009,total_units_in_structure,units_10_19,units_20_49,units_50_plus,median_home_value,owner_occupied,renter_occupied,total_pop,median_hh_income,bachelors,masters,professional_degree,doctorate,GEOID
Block Group 1; Census Tract 1001; Beaver County; Utah,488,0,37,90,488,0,0,32,451000.0,273,0,1517,140069.0,47,41,0,0,490011001001
Block Group 2; Census Tract 1001; Beaver County; Utah,550,0,79,64,550,0,0,37,310900.0,388,111,1181,75767.0,151,24,0,15,490011001002
Block Group 3; Census Tract 1001; Beaver County; Utah,813,0,26,8,813,0,0,0,275300.0,551,157,1691,66800.0,267,28,26,0,490011001003
Block Group 1; Census Tract 1002; Beaver County; Utah,288,13,22,11,288,0,0,32,280800.0,236,8,696,73000.0,134,15,0,4,490011002001
Block Group 2; Census Tract 1002; Beaver County; Utah,302,0,8,91,302,0,4,19,225700.0,252,16,860,88000.0,38,32,0,4,490011002002
Block Group 3; Census Tract 1002; Beaver County; Utah,487,0,4,22,487,0,0,22,230400.0,265,129,1227,77917.0,149,27,0,0,490011002003
Block Group 1; Census Tract 9601; Box Elder County; Utah,389,21,43,82,389,0,0,6,329000.0,318,10,1150,92262.0,158,18,0,5,490039601001
Block Group 2; Census Tract 9601; Box Elder County; Utah,561,19,112,135,561,0,0,23,395400.0,484,47,1940,83550.0,178,21,7,31,490039601002
Block Group 3; Census Tract 9601; Box Elder County; Utah,390,2,10,0,390,0,0,84,405300.0,206,51,965,86146.0,144,60,0,0,490039601003
Block Group 1; Census Tract 9602; Box Elder County; Utah,669,2,90,70,669,0,0,37,369300.0,545,63,2143,80294.0,253,21,1,9,490039602001
Block Group 2; Census Tract 9602; Box Elder County; Utah,259,15,36,41,259,0,0,0,526500.0,212,42,1027,86346.0,169,18,0,0,490039602002
Block Group 3; Census Tract 9602; Box Elder County; Utah,607,17,49,203,607,0,0,7,327000.0,496,102,2052,81458.0,139,105,0,5,490039602003
Block Group 4; Census Tract 9602; Box Elder County; Utah,484,1,56,66,484,0,0,24,462300.0,344,51,1214,85625.0,179,56,3,12,490039602004
Block Group 5; Census Tract 9602; Box Elder County; Utah,238,6,47,30,238,0,0,0,381300.0,185,39,725,81944.0,64,45,0,0,490039602005
Block Group 6; Census Tract 9602; Box Elder County; Utah,403,0,0,64,403,0,0,52,287900.0,225,151,995,,3,63,0,5,490039602006
Block Group 1; Census Tract 9603.01; Box Elder County; Utah,388,2,76,111,388,0,0,5,491800.0,358,9,1510,99519.0,92,31,4,4,490039603011
Block Group 2; Census Tract 9603.01; Box Elder County; Utah,505,70,0,0,505,0,0,0,257700.0,282,223,1328,64970.0,30,21,0,0,490039603012
Block Group 3; Census Tract 9603.01; Box Elder County; Utah,313,0,0,0,313,0,0,0,261500.0,136,177,937,71507.0,0,38,0,0,490039603013
Block Group 4; Census Tract 9603.01; Box Elder County; Utah,373,0,0,18,373,0,0,0,372800.0,349,24,1315,95313.0,91,51,0,8,490039603014
Block Group 1; Census Tract 9603.02; Box Elder County; Utah,859,0,127,200,859,0,0,219,267600.0,606,195,2230,72872.0,112,15,68,0,490039603021
Block Group 2; Census Tract 9603.02; Box Elder County; Utah,417,0,0,96,417,0,0,15,300300.0,313,73,1182,75333.0,63,0,0,0,490039603022
Block Group 3; Census Tract 9603.02; Box Elder County; Utah,554,43,140,120,554,0,0,78,350000.0,191,324,1100,70511.0,114,25,0,0,490039603023
Block Group 4; Census Tract 9603.02; Box Elder County; Utah,463,10,218,56,463,0,0,0,378000.0,251,193,1595,56402.0,114,0,0,0,490039603024
Block Group 1; Census Tract 9604; Box Elder County; Utah,598,0,104,77,598,0,0,45,391000.0,493,65,1736,79079.0,212,42,13,0,490039604001
Block Group 2; Census Tract 9604; Box Elder County; Utah,656,19,49,86,656,0,0,12,417100.0,575,73,2180,97727.0,267,50,5,19,490039604002
Block Group 3; Census Tract 9604; Box Elder County; Utah,485,2,77,50,485,0,0,0,365300.0,381,82,1454,65313.0,152,53,16,0,490039604003
Block Group 1; Census Tract 9605; Box Elder County; Utah,499,42,20,109,499,0,0,0,374600.0,431,68,1753,88250.0,319,123,0,0,490039605001
Block Group 2; Census Tract 9605; Box Elder County; Utah,304,0,20,0,304,0,0,0,325000.0,304,0,1022,119242.0,102,127,0,0,490039605002
Block Group 3; Census Tract 9605; Box Elder County; Utah,657,0,35,26,657,32,6,0,267200.0,271,356,1537,45509.0,157,0,3,0,490039605003
Block Group 4; Census Tract 9605; Box Elder County; Utah,444,0,28,35,444,52,0,0,230200.0,300,144,1064,60611.0,102,0,8,0,490039605004
Block Group 1; Census Tract 9606.01; Box Elder County; Utah,439,0,0,8,439,0,0,26,293900.0,175,238,1060,49653.0,91,12,0,12,490039606011
Block Group 2; Census Tract 9606.01; Box Elder County; Utah,518,0,0,11,518,0,0,0,287100.0,491,0,1352,58792.0,127,132,15,8,490039606012
Block Group 3; Census Tract 9606.01; Box Elder County; Utah,273,0,0,13,273,0,15,0,329200.0,151,122,673,74797.0,101,48,8,25,490039606013
Block Group 4; Census Tract 9606.01; Box Elder County; Utah,280,0,0,0,280,0,0,0,336800.0,187,93,920,71100.0,42,67,22,15,490039606014
Block Group 1; Census Tract 9606.02; Box Elder County; Utah,347,0,104,11,347,0,0,0,361800.0,330,17,929,89489.0,165,78,0,9,490039606021
Block Group 2; Census Tract 9606.02; Box Elder County; Utah,294,2,4,20,294,0,0,0,390000.0,285,6,933,98021.0,156,33,17,5,490039606022
Block Group 3; Census Tract 9606.02; Box Elder County; Utah,330,7,0,10,330,0,0,0,317800.0,209,121,985,79559.0,173,29,13,0,490039606023
Block Group 1; Census Tract 9607.01; Box Elder County; Utah,313,8,16,13,313,0,0,0,279200.0,178,135,914,64145.0,189,36,0,0,490039607011
Block Group 2; Census Tract 9607.01; Box Elder County; Utah,841,0,198,176,841,0,84,19,330900.0,445,312,2766,95331.0,426,84,35,0,490039607012
Block Group 3; Census Tract 9607.01; Box Elder County; Utah,625,0,64,52,625,71,63,45,299300.0,318,264,1648,56667.0,164,65,0,21,490039607013
Block Group 1; Census Tract 9607.02; Box Elder County; Utah,769,0,125,92,769,98,18,0,397800.0,302,374,1544,35742.0,175,58,0,5,490039607021
Block Group 2; Census Tract 9607.02; Box Elder County; Utah,358,0,0,0,358,0,0,0,347200.0,202,124,1069,64085.0,91,0,0,0,490039607022
Block Group 1; Census Tract 9608.01; Box Elder County; Utah,452,66,108,18,452,0,0,1,566300.0,385,21,1607,133370.0,173,150,8,15,490039608011
Block Group 2; Census Tract 9608.01; Box Elder County; Utah,623,12,82,132,623,0,0,12,434500.0,520,74,1793,107031.0,283,103,6,0,490039608012
Block Group 3; Census Tract 9608.01; Box Elder County; Utah,618,14,85,158,618,0,0,59,452500.0,524,86,1780,96630.0,283,192,19,2,490039608013
Block Group 1; Census Tract 9608.02; Box Elder County; Utah,683,10,139,351,683,0,14,0,430800.0,629,45,2351,103409.0,418,141,13,24,490039608021
Block Group 2; Census Tract 9608.02; Box Elder County; Utah,433,0,11,174,433,0,0,0,363200.0,386,47,1596,98675.0,194,53,0,0,490039608022
Block Group 3; Census Tract 9608.02; Box Elder County; Utah,569,0,51,197,569,0,0,0,414200.0,526,10,1651,109286.0,298,32,0,0,490039608023
Block Group 1; Census Tract 1.01; Cache County; Utah,594,0,44,156,594,0,0,4,368800.0,488,63,1769,114250.0,238,92,0,18,490050001011
Block Group 2; Census Tract 1.01; Cache County; Utah,580,3,46,70,580,0,0,0,311100.0,452,110,1865,90909.0,190,31,6,5,490050001012
Block Group 3; Census Tract 1.01; Cache County; Utah,515,0,67,106,515,0,0,58,323900.0,402,60,1680,88500.0,166,71,37,19,490050001013
Block Group 1; Census Tract 1.02; Cache County; Utah,307,0,4,35,307,0,8,5,337100.0,231,56,941,72269.0,130,35,0,4,490050001021
Block Group 2; Census Tract 1.02; Cache County; Utah,310,7,6,22,310,0,0,11,300000.0,260,13,612,62422.0,78,19,8,5,490050001022
Block Group 1; Census Tract 2.01; Cache County; Utah,629,95,97,68,629,0,0,0,357600.0,598,31,2363,88765.0,300,77,7,39,490050002011
Block Group 2; Census Tract 2.01; Cache County; Utah,662,16,212,70,662,0,33,16,369400.0,429,233,2458,77222.0,352,57,0,0,490050002012
Block Group 1; Census Tract 2.02; Cache County; Utah,427,0,0,39,427,34,0,0,345200.0,212,164,819,63266.0,95,54,0,19,490050002021
Block Group 2; Census Tract 2.02; Cache County; Utah,1439,54,560,358,1439,0,0,0,407800.0,1073,351,4546,91122.0,851,331,0,43,490050002022
Block Group 3; Census Tract 2.02; Cache County; Utah,639,0,203,162,639,0,0,0,439800.0,594,45,2526,117031.0,315,72,0,26,490050002023
Block Group 4; Census Tract 2.02; Cache County; Utah,564,28,158,102,564,0,0,0,480100.0,564,0,2011,93929.0,458,148,21,0,490050002024
Block Group 1; Census Tract 3.01; Cache County; Utah,342,0,29,26,342,0,0,19,379300.0,255,61,1120,98864.0,133,50,6,17,490050003011
Block Group 2; Census Tract 3.01; Cache County; Utah,365,0,32,73,365,0,0,6,346700.0,317,28,1275,74550.0,142,34,2,14,490050003012
Block Group 1; Census Tract 3.02; Cache County; Utah,814,0,254,370,814,0,0,38,362000.0,445,369,2454,66450.0,255,98,80,22,490050003021
Block Group 2; Census Tract 3.02; Cache County; Utah,256,24,27,84,256,0,0,0,283000.0,239,17,971,105778.0,148,28,0,5,490050003022
Block Group 3; Census Tract 3.02; Cache County; Utah,825,13,197,38,825,0,0,0,323600.0,674,151,3075,98352.0,377,157,30,0,490050003023
Block Group 1; Census Tract 4.01; Cache County; Utah,363,12,43,36,363,0,0,0,425600.0,339,17,1124,117045.0,243,103,39,47,490050004011
Block Group 2; Census Tract 4.01; Cache County; Utah,1049,13,665,151,1049,149,160,126,308800.0,266,685,2236,57969.0,271,128,22,44,490050004012
Block Group 3; Census Tract 4.01; Cache County; Utah,769,47,262,224,769,221,93,0,,31,738,2045,49112.0,122,28,0,38,490050004013
Block Group 1; Census Tract 4.02; Cache County; Utah,994,112,298,287,994,0,0,0,714900.0,897,8,3240,147656.0,479,329,120,92,490050004021
Block Group 2; Census Tract 4.02; Cache County; Utah,420,0,22,22,420,0,0,0,424500.0,375,45,1265,106750.0,288,163,25,62,490050004022
Block Group 1; Census Tract 4.03; Cache County; Utah,604,0,120,219,604,0,0,0,475000.0,546,58,2134,110278.0,307,218,26,62,490050004031
Block Group 2; Census Tract 4.03; Cache County; Utah,480,45,61,51,480,0,0,34,365000.0,376,104,1393,100473.0,207,63,0,0,490050004032
Block Group 3; Census Tract 4.03; Cache County; Utah,496,0,66,29,496,0,0,0,356700.0,383,87,1365,67067.0,171,177,0,16,490050004033
Block Group 4; Census Tract 4.03; Cache County; Utah,427,18,65,92,427,0,0,0,488700.0,389,28,1473,115114.0,288,183,18,55,490050004034
Block Group 1; Census Tract 5.01; Cache County; Utah,368,0,0,0,368,0,0,0,358900.0,85,241,1030,40036.0,70,29,0,0,490050005011
Block Group 2; Census Tract 5.01; Cache County; Utah,540,0,0,0,540,63,48,0,313500.0,180,360,1203,59348.0,333,104,12,0,490050005012
Block Group 3; Census Tract 5.01; Cache County; Utah,812,28,0,0,812,28,0,132,312800.0,252,515,1696,49766.0,85,13,0,20,490050005013
Block Group 4; Census Tract 5.01; Cache County; Utah,456,0,27,119,456,0,0,85,327300.0,242,214,1213,50750.0,35,73,0,0,490050005014
Block Group 1; Census Tract 5.02; Cache County; Utah,1822,43,558,647,1822,53,49,0,289000.0,488,1298,5015,54367.0,455,307,0,0,490050005021
Block Group 2; Census Tract 5.02; Cache County; Utah,866,0,47,239,866,0,0,0,274000.0,108,758,2420,56912.0,360,90,24,27,490050005022
Block Group 1; Census Tract 6.01; Cache County; Utah,231,0,43,0,231,38,14,0,,0,193,1096,60331.0,17,18,0,0,490050006011
Block Group 2; Census Tract 6.01; Cache County; Utah,164,0,17,13,164,31,17,0,,0,164,741,38643.0,21,0,0,0,490050006012
Block Group 3; Census Tract 6.01; Cache County; Utah,270,0,11,8,270,0,0,0,278200.0,120,116,627,105000.0,82,67,0,59,490050006013
Block Group 4; Census Tract 6.01; Cache County; Utah,482,0,28,7,482,41,62,0,287500.0,112,286,1071,34494.0,119,50,50,0,490050006014
Block Group 1; Census Tract 6.02; Cache County; Utah,174,11,5,68,174,0,11,0,,16,158,968,28879.0,46,21,0,0,490050006021
Block Group 2; Census Tract 6.02; Cache County; Utah,691,0,69,30,691,67,87,13,370400.0,207,484,1830,52298.0,203,62,38,39,490050006022
Block Group 3; Census Tract 6.02; Cache County; Utah,313,0,70,0,313,0,58,0,267000.0,185,128,1168,79648.0,47,6,6,0,490050006023
Block Group 1; Census Tract 7.01; Cache County; Utah,651,16,130,41,651,0,0,0,505300.0,619,32,1950,127212.0,402,270,50,157,490050007011
Block Group 2; Census Tract 7.01; Cache County; Utah,553,40,26,21,553,53,8,0,403700.0,424,129,2128,78031.0,262,139,34,72,490050007012
Block Group 3; Census Tract 7.01; Cache County; Utah,376,0,24,0,376,0,0,0,439200.0,127,249,989,,115,40,0,0,490050007013
Block Group 1; Census Tract 7.02; Cache County; Utah,185,0,44,0,185,8,7,0,,0,185,2156,43802.0,80,37,0,8,490050007021
Block Group 2; Census Tract 7.02; Cache County; Utah,520,0,6,16,520,11,22,0,,0,507,1257,31895.0,87,91,0,15,490050007022
Block Group 1; Census Tract 8; Cache County; Utah,759,0,30,55,759,174,0,13,,70,638,1847,37356.0,100,47,0,0,490050008001
Block Group 2; Census Tract 8; Cache County; Utah,530,0,0,44,530,0,0,0,335900.0,80,307,934,66611.0,53,92,0,0,490050008002
Block Group 3; Census Tract 8; Cache County; Utah,514,0,0,14,514,0,0,0,,38,392,1077,33897.0,51,48,0,0,490050008003
Block Group 4; Census Tract 8; Cache County; Utah,597,0,0,0,597,147,25,0,221800.0,128,417,1372,50417.0,197,74,0,18,490050008004
Block Group 1; Census Tract 9; Cache County; Utah,927,0,17,69,927,9,0,0,312500.0,286,515,2342,61620.0,308,70,44,17,490050009001
Block Group 2; Census Tract 9; Cache County; Utah,255,0,0,0,255,0,0,0,344900.0,139,116,715,73295.0,52,57,0,3,490050009002
Block Group 3; Census Tract 9; Cache County; Utah,282,0,13,16,282,0,0,0,268400.0,80,137,481,,44,17,0,6,490050009003
Block Group 1; Census Tract 10.01; Cache County; Utah,606,0,26,174,606,0,0,24,331100.0,324,258,1792,74048.0,146,63,0,15,490050010011
Block Group 2; Census Tract 10.01; Cache County; Utah,348,0,0,117,348,0,0,0,282600.0,222,119,1193,99323.0,90,79,8,0,490050010012
Block Group 1; Census Tract 10.02; Cache County; Utah,353,0,9,0,353,14,0,0,296900.0,95,258,770,37188.0,129,11,11,0,490050010021
Block Group 2; Census Tract 10.02; Cache County; Utah,397,21,0,129,397,6,21,0,339700.0,69,328,1148,37303.0,89,9,0,28,490050010022
Block Group 3; Census Tract 10.02; Cache County; Utah,771,0,81,121,771,87,54,26,272700.0,340,383,1953,51161.0,302,45,0,7,490050010023
Block Group 4; Census Tract 10.02; Cache County; Utah,484,0,11,19,484,0,0,19,326800.0,275,181,1197,52794.0,173,56,0,0,490050010024
Block Group 1; Census Tract 11.01; Cache County; Utah,886,0,91,402,886,113,0,0,377300.0,522,322,2057,73864.0,445,123,12,25,490050011011
Block Group 2; Census Tract 11.01; Cache County; Utah,495,11,0,33,495,0,0,11,493000.0,478,0,1789,126900.0,255,177,11,17,490050011012
Block Group 3; Census Tract 11.01; Cache County; Utah,765,70,11,102,765,0,0,0,340200.0,384,381,2387,71238.0,285,123,0,9,490050011013
Block Group 1; Census Tract 11.02; Cache County; Utah,523,0,7,56,523,0,0,0,521700.0,458,30,1512,92313.0,209,112,19,47,490050011021
Block Group 2; Census Tract 11.02; Cache County; Utah,883,4,418,31,883,172,27,0,425600.0,463,296,2107,86458.0,399,150,16,83,490050011022
Block Group 3; Census Tract 11.02; Cache County; Utah,486,15,14,103,486,0,0,0,510100.0,456,30,1526,135833.0,353,186,28,72,490050011023
Block Group 1; Census Tract 12.01; Cache County; Utah,672,60,106,165,672,0,0,0,485100.0,626,21,2175,130804.0,382,174,23,13,490050012011
