tract_fips,mobility_score
49001100100,0.55889922
49001100200,0.49284494
49003960100,0.48983252
49003960200,0.5617826
49003960300,0.46944803
49003960400,0.49664754
49003960500,0.4053224
49003960601,0.42168289
49003960602,0.51063424
49003960701,0.44029582
49003960702,0.43051866
49003960801,0.5422911
49003960802,0.50286108
49005000101,0.52482569
49005000102,0.56118375
49005000201,0.481103
49005000202,0.49852958
49005000300,0.49638996
49005000401,0.49592477
49005000402,0.52586097
49005000403,0.53848928
49005000501,0.45102167
49005000502,0.46470043
49005000600,0.50573403
49005000701,0.54605216
49005000702,0.49626064
49005000800,0.47650883
49005000900,0.46656299
49005001001,0.49817961
49005001002,0.42893735
49005001101,0.53286582
49005001102,0.50642419
49005001201,0.55936122
49005001202,0.49708858
49005001300,0.48265123
49005001401,0.48997775
49005001402,0.44006303
49005001500,0.49820903
49005980100,
49007000100,0.47270274
49007000200,0.44448486
49007000300,0.44613609
49007000500,0.4477011
49007000600,0.43280885
49009960100,0.46204573
49011125102,0.535676
49011125103,0.50446945
49011125104,0.52728868
49011125200,0.43239978
49011125301,0.41791448
49011125303,0.47069833
49011125304,0.45613134
49011125305,0.47583157
49011125401,0.46571314
49011125403,0.47565585
49011125405,0.46268082
49011125406,0.45267254
49011125501,0.4391112
49011125502,0.44061023
49011125503,0.42746386
49011125600,0.44898781
49011125701,0.39111134
49011125702,0.40085527
49011125801,0.39545697
49011125804,0.50113225
49011125805,0.43944868
49011125807,0.42460433
49011125808,0.44952822
49011125905,0.45054662
49011125906,0.48072433
49011125907,0.53960818
49011125908,0.54106581
49011126001,0.4194518
49011126002,0.53121006
49011126101,0.50240719
49011126104,0.54248691
49011126105,0.58129728
49011126202,0.54939222
49011126203,0.54403633
49011126204,0.51732898
49011126303,0.59210873
49011126304,0.52911597
49011126305,0.60343051
49011126306,0.50559074
49011126402,0.61087328
49011126404,0.4859167
49011126405,0.60080624
49011126406,0.5001387
49011126500,0.52240855
49011126600,0.48569602
49011126700,0.47764111
49011126801,0.57104152
49011126802,0.55210501
49011126901,0.50329697
49011126902,0.51805204
49011127002,0.45250538
49011127003,0.51759303
49011127004,0.48084673
49011127100,0.55787599
49013940300,0.51240706
49013940500,0.48556736
49013940600,0.55124146
49015976200,0.4942694
49015976300,0.51005334
49015976500,0.48650071
